name,url
FAP13,"http://wptg.oraclecorp.com/pls/htmldb/f?p=700:11:10158973467196::NO::P0_PROJECT_ID,P0_SSOT_VERSION_ID,P0_BP_ID:47044,7993,237293"
APEX193,"http://wptg.oraclecorp.com/pls/htmldb/f?p=700:11:10158973467196::NO::P0_PROJECT_ID,P0_SSOT_VERSION_ID,P0_BP_ID:47053,56064,237614"
IDCS10,"http://wptg.oraclecorp.com/pls/htmldb/f?p=700:11:10158973467196::NO::P0_PROJECT_ID,P0_SSOT_VERSION_ID,P0_BP_ID:47045,7346,237233"
ESSBASE,"http://wptg.oraclecorp.com/pls/htmldb/f?p=700:11:10158973467196::NO::P0_PROJECT_ID,P0_SSOT_VERSION_ID,P0_BP_ID:47228,24261,237733"
